len,packet_id,flags,ttl,protocol,checksum,source_port,destination_port,test
121,51545,2,64,6,44486,39618,23000,1
40,19601,0,38,6,34016,23000,39618,1
321,24808,0,38,6,28528,23000,39618,1
40,51546,2,64,6,44566,39618,23000,1
40,47842,0,38,6,5775,23000,39618,1
40,51547,2,64,6,44565,39618,23000,1
40,60056,0,38,6,59096,23000,39618,1
64,11616,2,64,17,2552,35512,53,1
64,11617,2,64,17,2551,35512,53,1
225,6152,0,38,17,30895,53,35512,1
64,64392,0,38,17,38351,53,35512,1
70,11618,2,64,17,2544,41546,53,1
70,50902,0,38,17,51835,53,41546,1
60,25033,2,64,6,5524,39620,23000,1
48,55137,0,38,6,64007,23000,39620,1
40,25034,2,64,6,5543,39620,23000,1
121,25035,2,64,6,5461,39620,23000,1
40,51374,0,38,6,2243,23000,39620,1
321,6886,0,38,6,46450,23000,39620,1
40,25036,2,64,6,5541,39620,23000,1
40,17230,0,38,6,36387,23000,39620,1
40,25037,2,64,6,5540,39620,23000,1
40,41552,0,38,6,12065,23000,39620,1
65,11677,2,64,17,2490,36151,53,1
65,11678,2,64,17,2489,36151,53,1
65,50583,0,38,17,52159,53,36151,1
65,31168,0,38,17,6039,53,36151,1
69,11703,2,64,17,2460,37885,53,1
69,11704,2,64,17,2459,37885,53,1
85,42213,0,38,17,60509,53,37885,1
69,45566,0,38,17,57172,53,37885,1
76,11705,2,64,17,2451,55226,123,1
76,51429,0,38,17,51302,123,55226,1
60,2465,2,64,6,28092,39622,23000,1
48,57301,0,38,6,61843,23000,39622,1
40,2466,2,64,6,28111,39622,23000,1
121,2467,2,64,6,28029,39622,23000,1
40,30326,0,38,6,23291,23000,39622,1
321,15027,0,38,6,38309,23000,39622,1
40,2468,2,64,6,28109,39622,23000,1
40,36195,0,38,6,17422,23000,39622,1
40,2469,2,64,6,28108,39622,23000,1
40,64621,0,38,6,54531,23000,39622,1
60,48370,2,64,6,47722,39624,23000,1
48,46484,0,38,6,7125,23000,39624,1
40,48371,2,64,6,47741,39624,23000,1
121,48372,2,64,6,47659,39624,23000,1
40,37653,0,38,6,15964,23000,39624,1
321,16003,0,38,6,37333,23000,39624,1
40,48373,2,64,6,47739,39624,23000,1
40,38309,0,38,6,15308,23000,39624,1
40,48374,2,64,6,47738,39624,23000,1
40,18479,0,38,6,35138,23000,39624,1
64,3044,2,64,17,27498,53108,53,1
64,3045,2,64,17,27497,53108,53,1
64,13609,0,38,17,39973,53,53108,1
64,44675,0,38,17,8907,53,53108,1
65,11717,2,64,17,2450,47510,53,1
65,11718,2,64,17,2449,47510,53,1
65,12520,0,38,17,24687,53,47510,1
65,43747,0,38,17,58995,53,47510,1
64,3217,2,64,17,27325,53108,53,1
64,2470,0,38,17,51112,53,53108,1
64,3218,2,64,17,27324,53108,53,1
64,15027,0,38,17,38555,53,53108,1
63,11838,2,64,17,2331,52207,53,1
63,11839,2,64,17,2330,52207,53,1
63,23796,0,38,17,13413,53,52207,1
63,28665,0,38,17,8544,53,52207,1
60,72,2,64,6,30485,39626,23000,1
48,41961,0,38,6,11648,23000,39626,1
40,73,2,64,6,30504,39626,23000,1
121,74,2,64,6,30422,39626,23000,1
40,33807,0,38,6,19810,23000,39626,1
321,60028,0,38,6,58843,23000,39626,1
40,75,2,64,6,30502,39626,23000,1
